,account_key,subscription_start,total_study_hrs,lessons_completed,projects_completed,Intro to Data Science_hrs,Intro to HTML and CSS_hrs,Data Analyst Nanodegree_hrs,Data Visualization and D3.js_hrs,Data Analysis with R_hrs,JavaScript Basics_hrs,Intro to Machine Learning_hrs,A/B Testing_hrs,Data Wrangling with MongoDB_hrs,Intro to Data Science_lesson,Intro to HTML and CSS_lesson,Data Analyst Nanodegree_lesson,Data Visualization and D3.js_lesson,Data Analysis with R_lesson,JavaScript Basics_lesson,Intro to Machine Learning_lesson,A/B Testing_lesson,Data Wrangling with MongoDB_lesson,Intro to Data Science_proj,Intro to HTML and CSS_proj,Data Analyst Nanodegree_proj,Data Visualization and D3.js_proj,Data Analysis with R_proj,JavaScript Basics_proj,Intro to Machine Learning_proj,A/B Testing_proj,Data Wrangling with MongoDB_proj
0,448,2014,7.865357536110332,0.0,0.0,1.630967122222833,0.76440243055,3.406064944444332,0.15292225277766666,0.35808756388833335,0.972030158333333,0.580883063888833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44,2014,46.394156652769325,12.0,0.0,22.17087966667,0.0,2.638166563883333,0.0,0.0,0.0,0.0,0.0,21.58511042221,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,258,2014,99.50050039167,11.0,1.0,22.683015541666666,0.0,5.058334588888333,9.445516413890001,19.8368701444333,0.0,24.678967750016668,0.0,17.797795952776003,9.0,0.0,0.0,5.0,6.0,0.0,14.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3,366,2014,102.5816878972188,11.0,0.0,33.8699802444555,0.0,2.968250669443833,3.994799516661166,9.556285272220002,0.0,24.7427082499883,0.0,27.449663944450002,9.0,0.0,1.0,2.0,6.0,0.0,13.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,587,2014,17.879348477769334,0.0,0.0,16.004607786103833,0.0,1.617224061110500,0.0,0.0,0.0,0.25751663055,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,943,2014,0.26470904722166666,0.0,0.0,0.0,0.0,0.26470904722166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,412,2014,111.9762681027961,9.0,0.0,54.78955910833,0.0,2.4915461749945,0.0,0.0,0.0,0.0,0.0,54.6951628194666,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1288,2014,2.869097194443333,0.0,0.0,0.05878853333333333,0.0,0.969323388888333,0.18678335555499997,0.0,0.0,1.654201916666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1006,2014,1.840385422223333,0.0,0.0,0.0,0.0,1.776294280556666,0.0,0.0,0.0,0.0,0.0,0.06409114166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,429,2014,39.7687716888708,2.0,0.0,28.70796728610,0.0,1.499927927777666,1.9421657805555,0.0,0.0,0.046634225,0.0,7.572076469436667,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
